proposed_key	source_kind	file:line	english_label	note
snackbar_unable_to_load_2	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:214	Unable to Load	Unable to load hashtag groups. Please try again.
snackbar_unable_to_refresh_2	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:258	Unable to Refresh	Unable to refresh hashtag groups. Please try again.
text_delete_hashtag_group	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:296	Delete Hashtag Group	
text_are_you_sure_you_want_to_delete_hashtaggroup_name	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:307	Are you sure you want to delete "${hashtagGroup.name}"?	
text_this_action_cannot_be_undone_2	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:329	This action cannot be undone.	
text_cancel_3	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:351	Cancel	
text_delete_3	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:370	Delete	
snackbar_success_12	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:430	Success	Hashtag group deleted successfully!
snackbar_unable_to_delete_5	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:449	Unable to Delete	Unable to delete hashtag group. Please try again.
snackbar_unable_to_delete_6	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:459	Unable to Delete	Unable to delete hashtag group. Please try again.
text_cannot_delete_hashtag_group	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:501	Cannot Delete Hashtag Group	
text_the_hashtag_group_groupname_cannot_be_deleted_becau	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:515	The hashtag group "$groupName" cannot be deleted because it is being used by $memoryCount ${memoryCount == 1 ? 	
text_to_delete_this_hashtag_group_first_remove_the_hasht	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:537	To delete this hashtag group, first remove the hashtags from all memories that use them, or delete those memories.	
text_ok_2	Text	app/modules/hashtag_groups/views/hashtag_groups_view.dart:558	OK	
snackbar_validation_error_2	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:600	Validation Error	Please enter a hashtag group name
snackbar_success_13	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:626	Success	Hashtag group "$newName" updated successfully!
snackbar_unable_to_update_4	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:634	Unable to Update	Unable to update hashtag group. Please try again.
snackbar_unable_to_update_5	snackbar	app/modules/hashtag_groups/views/hashtag_groups_view.dart:644	Unable to Update	Unable to update hashtag group. Please try again.
